transaction_id,items,basket_size
id_0074,"['rolls/buns', 'instant_food_products']",2
id_0075,"['whole_milk', 'frozen_vegetables']",2
id_0077,"['frankfurter', 'rolls/buns']",2
id_0078,"['pasta', 'popcorn']",2
id_0080,"['coffee', 'shopping_bags']",2
id_0082,"['whole_milk', 'butter', 'dessert', 'rolls/buns']",4
id_0083,"['frankfurter', 'soda', 'chewing_gum']",3
id_0084,"['tropical_fruit', 'specialty_cheese', 'bottled_water']",3
id_0085,"['beverages', 'soda']",2
id_0086,"['whole_milk', 'pastry', 'long_life_bakery_product']",3
id_0089,"['whole_milk', 'cream_cheese', 'cereals', 'dog_food']",4
id_0090,"['whole_milk', 'salt']",2
id_0091,"['dessert', 'ice_cream']",2
id_0092,"['other_vegetables', 'ice_cream']",2
id_0093,"['other_vegetables', 'bottled_water']",2
id_0094,"['herbs', 'candy']",2
id_0098,"['frankfurter', 'rolls/buns']",2
id_0101,"['curd', 'rolls/buns']",2
id_0102,"['whole_milk', 'bottled_water', 'newspapers']",3
id_0103,"['rolls/buns', 'chewing_gum']",2
id_0104,"['citrus_fruit', 'pastry']",2
id_0106,"['rolls/buns', 'pastry', 'soda']",3
id_0107,"['condensed_milk', 'sugar', 'coffee', 'shopping_bags']",4
id_0108,"['whole_milk', 'beverages', 'uht-milk', 'soda']",4
id_0110,"['beverages', 'specialty_bar']",2
id_0111,"['bottled_water', 'fruit/vegetable_juice']",2
id_0113,"['cleaner', 'female_sanitary_products']",2
id_0115,"['misc_beverages', 'newspapers']",2
id_0116,"['whole_milk', 'mustard', 'bottled_water']",3
id_0117,"['meat', 'other_vegetables', 'butter', 'rolls/buns']",4
id_0118,"['whole_milk', 'whipped/sour_cream', 'semi-finished_bread', 'margarine']",4
id_0119,"['citrus_fruit', 'whole_milk', 'rolls/buns']",3
id_0120,"['hard_cheese', 'rolls/buns', 'bottled_water', 'newspapers']",4
id_0121,"['cream_cheese', 'rolls/buns', 'soda', 'chocolate']",4
id_0122,"['whole_milk', 'beverages']",2
id_0123,"['rolls/buns', 'soda']",2
id_0125,"['pip_fruit', 'other_vegetables', 'fruit/vegetable_juice']",3
id_0126,"['root_vegetables', 'other_vegetables', 'yogurt']",3
id_0129,"['root_vegetables', 'whole_milk', 'pet_care', 'detergent']",4
id_0132,"['pickled_vegetables', 'coffee']",2
id_0135,"['turkey', 'pip_fruit', 'salad_dressing', 'pastry']",4
id_0137,"['citrus_fruit', 'tropical_fruit']",2
id_0138,"['citrus_fruit', 'sugar', 'sauces']",3
id_0139,"['citrus_fruit', 'packaged_fruit/vegetables', 'yogurt', 'bottled_water']",4
id_0140,"['uht-milk', 'coffee']",2
id_0143,"['beef', 'citrus_fruit', 'other_vegetables', 'yogurt']",4
id_0146,"['other_vegetables', 'yogurt', 'brown_bread', 'instant_coffee']",4
id_0147,"['bottled_water', 'cake_bar']",2
id_0148,"['tropical_fruit', 'soda', 'salty_snack']",3
id_0150,"['grapes', 'root_vegetables']",2
id_0151,"['domestic_eggs', 'brown_bread', 'photo/film']",3
id_0152,"['tropical_fruit', 'whole_milk']",2
id_0154,"['margarine', 'hygiene_articles']",2
id_0155,"['soda', 'specialty_chocolate']",2
id_0161,"['frankfurter', 'rolls/buns']",2
id_0162,"['salt', 'salty_snack', 'cookware']",3
id_0164,"['other_vegetables', 'butter', 'specialty_chocolate']",3
id_0166,"['frankfurter', 'whole_milk', 'butter_milk']",3
id_0167,"['whole_milk', 'soda']",2
id_0170,"['whole_milk', 'hygiene_articles']",2
id_0172,"['citrus_fruit', 'whole_milk', 'curd', 'soft_cheese']",4
id_0173,"['pastry', 'fruit/vegetable_juice']",2
id_0175,"['other_vegetables', 'bottled_water']",2
id_0176,"['berries', 'white_bread']",2
id_0177,"['berries', 'coffee']",2
id_0178,"['other_vegetables', 'butter_milk', 'frozen_meals', 'bottled_water']",4
id_0179,"['rolls/buns', 'newspapers']",2
id_0180,"['whole_milk', 'frozen_dessert', 'salty_snack', 'napkins']",4
id_0181,"['tropical_fruit', 'butter_milk', 'rolls/buns', 'bottled_water']",4
id_0183,"['butter_milk', 'yogurt']",2
id_0186,"['hard_cheese', 'pastry', 'napkins']",3
id_0187,"['onions', 'whole_milk', 'beverages', 'frozen_dessert']",4
id_0192,"['yogurt', 'chocolate']",2
id_0193,"['domestic_eggs', 'rolls/buns', 'dish_cleaner', 'hygiene_articles']",4
id_0195,"['meat', 'other_vegetables', 'whole_milk', 'whipped/sour_cream']",4
id_0196,"['dish_cleaner', 'bathroom_cleaner', 'hygiene_articles', 'napkins']",4
id_0197,"['other_vegetables', 'whole_milk', 'rolls/buns', 'instant_food_products']",4
id_0198,"['tropical_fruit', 'other_vegetables']",2
id_0199,"['baking_powder', 'bottled_water', 'salty_snack', 'chewing_gum']",4
id_0202,"['frankfurter', 'yogurt']",2
id_0204,"['domestic_eggs', 'rolls/buns', 'specialty_bar', 'napkins']",4
id_0205,"['other_vegetables', 'pet_care']",2
id_0206,"['soda', 'chewing_gum']",2
id_0209,"['root_vegetables', 'pastry', 'bottled_water', 'male_cosmetics']",4
id_0211,"['berries', 'pet_care', 'cake_bar', 'shopping_bags']",4
id_0212,"['whole_milk', 'oil', 'canned_fruit', 'fruit/vegetable_juice']",4
id_0213,"['soda', 'misc_beverages']",2
id_0214,"['bottled_water', 'soda']",2
id_0215,"['tropical_fruit', 'other_vegetables', 'rolls/buns']",3
id_0218,"['citrus_fruit', 'uht-milk', 'cream_cheese', 'frozen_vegetables']",4
id_0219,"['dessert', 'oil', 'cat_food', 'soda']",4
id_0221,"['coffee', 'hygiene_articles']",2
id_0222,"['rolls/buns', 'brown_bread', 'bottled_water']",3
id_0223,"['bottled_water', 'misc_beverages', 'cling_film/bags']",3
id_0224,"['herbs', 'bottled_water']",2
id_0225,"['yogurt', 'rolls/buns']",2
id_0229,"['beef', 'root_vegetables']",2
id_0230,"['whole_milk', 'honey', 'waffles']",3
id_0231,"['other_vegetables', 'whole_milk', 'cream_cheese']",3
id_0232,"['whole_milk', 'rolls/buns', 'newspapers']",3
id_0233,"['frankfurter', 'margarine', 'dental_care']",3
id_0234,"['other_vegetables', 'salty_snack']",2
id_0235,"['bottled_water', 'shopping_bags']",2
id_0237,"['other_vegetables', 'whipped/sour_cream', 'specialty_cheese', 'domestic_eggs']",4
id_0239,"['whole_milk', 'cream_cheese', 'soda', 'fruit/vegetable_juice']",4
id_0241,"['pastry', 'bottled_water']",2
id_0242,"['frankfurter', 'soda']",2
id_0243,"['dessert', 'candy']",2
id_0244,"['other_vegetables', 'packaged_fruit/vegetables', 'uht-milk', 'bottled_water']",4
id_0245,"['beverages', 'rolls/buns', 'soda']",3
id_0247,"['brown_bread', 'soda', 'salty_snack', 'shopping_bags']",4
id_0248,"['whole_milk', 'cream_cheese', 'coffee']",3
id_0249,"['citrus_fruit', 'other_vegetables', 'soda']",3
id_0250,"['other_vegetables', 'shopping_bags']",2
id_0251,"['whole_milk', 'dessert', 'bottled_water']",3
id_0252,"['soda', 'misc_beverages']",2
id_0253,"['whole_milk', 'curd']",2
id_0254,"['white_bread', 'brown_bread']",2
id_0255,"['brown_bread', 'sugar', 'hygiene_articles']",3
id_0257,"['coffee', 'detergent', 'hygiene_articles', 'photo/film']",4
id_0260,"['other_vegetables', 'yogurt']",2
id_0261,"['yogurt', 'bottled_water', 'dishes']",3
id_0262,"['bottled_water', 'candy']",2
id_0263,"['packaged_fruit/vegetables', 'seasonal_products']",2
id_0264,"['other_vegetables', 'margarine']",2
id_0266,"['herbs', 'yogurt']",2
id_0267,"['citrus_fruit', 'spread_cheese', 'rolls/buns', 'soda']",4
id_0271,"['soda', 'female_sanitary_products']",2
id_0272,"['white_bread', 'bottled_water', 'soda', 'waffles']",4
id_0273,"['coffee', 'chewing_gum', 'chocolate_marshmallow']",3
id_0274,"['citrus_fruit', 'bottled_water']",2
id_0276,"['frankfurter', 'rolls/buns']",2
id_0278,"['yogurt', 'fruit/vegetable_juice', 'newspapers']",3
id_0281,"['root_vegetables', 'other_vegetables']",2
id_0282,"['onions', 'fruit/vegetable_juice']",2
id_0285,"['rolls/buns', 'soda', 'snack_products', 'newspapers']",4
id_0286,"['butter', 'fruit/vegetable_juice', 'newspapers']",3
id_0289,"['fruit/vegetable_juice', 'long_life_bakery_product']",2
id_0290,"['pip_fruit', 'whole_milk', 'bottled_water', 'candy']",4
id_0294,"['cling_film/bags', 'pot_plants']",2
id_0295,"['chicken', 'pastry']",2
id_0297,"['whipped/sour_cream', 'pastry', 'specialty_bar']",3
id_0298,"['root_vegetables', 'brown_bread']",2
id_0299,"['rolls/buns', 'soda']",2
id_0300,"['coffee', 'long_life_bakery_product']",2
id_0301,"['pip_fruit', 'whole_milk', 'canned_fish']",3
id_0307,"['rolls/buns', 'spices']",2
id_0308,"['beverages', 'pastry', 'bottled_water']",3
id_0309,"['beef', 'citrus_fruit', 'other_vegetables', 'rolls/buns']",4
id_0310,"['root_vegetables', 'whole_milk', 'detergent']",3
id_0311,"['yogurt', 'bottled_water']",2
id_0312,"['frankfurter', 'root_vegetables', 'newspapers']",3
id_0314,"['tropical_fruit', 'domestic_eggs', 'rolls/buns', 'pastry']",4
id_0316,"['coffee', 'soda']",2
id_0319,"['tropical_fruit', 'other_vegetables']",2
id_0320,"['meat', 'other_vegetables']",2
id_0322,"['rolls/buns', 'pastry', 'newspapers']",3
id_0323,"['whole_milk', 'rolls/buns', 'detergent']",3
id_0325,"['whole_milk', 'domestic_eggs', 'rolls/buns', 'soda']",4
id_0326,"['whole_milk', 'hard_cheese', 'chocolate_marshmallow']",3
id_0327,"['curd', 'butter_milk', 'yogurt', 'beverages']",4
id_0330,"['chicken', 'butter', 'newspapers']",3
id_0331,"['yogurt', 'pastry', 'coffee']",3
id_0332,"['pastry', 'coffee']",2
id_0333,"['chicken', 'beef', 'specialty_chocolate']",3
id_0334,"['whole_milk', 'frozen_meals', 'rolls/buns']",3
id_0336,"['rolls/buns', 'canned_fish']",2
id_0339,"['curd', 'uht-milk', 'artif_sweetener', 'dental_care']",4
id_0340,"['beef', 'berries', 'onions', 'rolls/buns']",4
id_0341,"['yogurt', 'hygiene_articles', 'newspapers', 'shopping_bags']",4
id_0342,"['bottled_water', 'candy']",2
id_0343,"['frankfurter', 'beef', 'butter']",3
id_0344,"['rolls/buns', 'soda', 'snack_products', 'shopping_bags']",4
id_0345,"['whole_milk', 'pastry', 'bottled_water', 'hygiene_articles']",4
id_0347,"['rolls/buns', 'newspapers']",2
id_0348,"['yogurt', 'specialty_bar']",2
id_0349,"['whipped/sour_cream', 'specialty_bar']",2
id_0351,"['beverages', 'rolls/buns']",2
id_0353,"['rolls/buns', 'shopping_bags']",2
id_0354,"['bottled_water', 'soda']",2
id_0356,"['spread_cheese', 'rolls/buns', 'bottled_water', 'newspapers']",4
id_0357,"['tropical_fruit', 'spread_cheese', 'rolls/buns', 'soda']",4
id_0359,"['chicken', 'onions', 'herbs', 'hygiene_articles']",4
id_0360,"['beef', 'tropical_fruit', 'root_vegetables', 'yogurt']",4
id_0362,"['frankfurter', 'rolls/buns', 'mustard']",3
id_0363,"['grapes', 'soda']",2
id_0364,"['beverages', 'rolls/buns']",2
id_0365,"['ice_cream', 'sugar', 'flower_(seeds)']",3
id_0367,"['dessert', 'beverages', 'bottled_water']",3
id_0370,"['berries', 'other_vegetables', 'whole_milk', 'whipped/sour_cream']",4
id_0371,"['vinegar', 'oil']",2
id_0372,"['rolls/buns', 'soda', 'specialty_bar']",3
id_0374,"['rolls/buns', 'newspapers']",2
id_0375,"['onions', 'other_vegetables', 'flour']",3
id_0376,"['tropical_fruit', 'whole_milk', 'rolls/buns']",3
id_0378,"['meat', 'rolls/buns', 'soda', 'specialty_bar']",4
id_0379,"['whole_milk', 'dessert']",2
id_0380,"['pet_care', 'bottled_water']",2
id_0381,"['root_vegetables', 'other_vegetables', 'soda', 'shopping_bags']",4
id_0383,"['frozen_dessert', 'semi-finished_bread']",2
id_0384,"['root_vegetables', 'whole_milk', 'yogurt', 'rolls/buns']",4
id_0385,"['root_vegetables', 'whole_milk', 'butter', 'coffee']",4
id_0386,"['soda', 'newspapers']",2
id_0388,"['whole_milk', 'chewing_gum']",2
id_0389,"['root_vegetables', 'pot_plants']",2
id_0390,"['cream_cheese', 'spread_cheese', 'rolls/buns']",3
id_0392,"['citrus_fruit', 'tropical_fruit', 'pip_fruit']",3
id_0393,"['citrus_fruit', 'whole_milk']",2
id_0395,"['whole_milk', 'yogurt']",2
id_0399,"['berries', 'whole_milk', 'whipped/sour_cream', 'domestic_eggs']",4
id_0400,"['packaged_fruit/vegetables', 'whole_milk', 'rolls/buns', 'pastry']",4
id_0401,"['frankfurter', 'soda']",2
id_0402,"['other_vegetables', 'whipped/sour_cream']",2
id_0403,"['beef', 'other_vegetables']",2
id_0405,"['frozen_meals', 'misc_beverages']",2
id_0407,"['packaged_fruit/vegetables', 'pickled_vegetables']",2
id_0409,"['berries', 'frozen_vegetables', 'pet_care', 'instant_coffee']",4
id_0410,"['bottled_water', 'soda', 'chewing_gum', 'napkins']",4
id_0411,"['ice_cream', 'rolls/buns']",2
id_0412,"['frankfurter', 'citrus_fruit', 'tropical_fruit', 'rolls/buns']",4
id_0413,"['beef', 'root_vegetables', 'whole_milk', 'cream_cheese']",4
id_0415,"['sugar', 'hygiene_articles']",2
id_0416,"['berries', 'whipped/sour_cream']",2
id_0417,"['yogurt', 'beverages', 'coffee']",3
id_0419,"['potato_products', 'flower_(seeds)']",2
id_0420,"['chicken', 'other_vegetables', 'salt']",3
id_0421,"['fish', 'cream_cheese', 'coffee']",3
id_0422,"['other_vegetables', 'misc_beverages']",2
id_0423,"['tropical_fruit', 'whole_milk']",2
id_0424,"['whole_milk', 'cake_bar', 'newspapers']",3
id_0425,"['whole_milk', 'rolls/buns', 'chocolate']",3
id_0426,"['rolls/buns', 'soda']",2
id_0427,"['citrus_fruit', 'tropical_fruit', 'pip_fruit', 'other_vegetables']",4
id_0428,"['sliced_cheese', 'pastry', 'newspapers']",3
id_0431,"['root_vegetables', 'whipped/sour_cream']",2
id_0432,"['packaged_fruit/vegetables', 'pot_plants']",2
id_0433,"['whole_milk', 'cream_cheese']",2
id_0434,"['soda', 'shopping_bags']",2
id_0435,"['frankfurter', 'popcorn']",2
id_0436,"['frankfurter', 'rolls/buns']",2
id_0438,"['frozen_fish', 'newspapers']",2
id_0439,"['tropical_fruit', 'newspapers']",2
id_0440,"['specialty_chocolate', 'pot_plants']",2
id_0441,"['citrus_fruit', 'napkins', 'shopping_bags']",3
id_0442,"['whole_milk', 'pastry', 'detergent', 'candles']",4
id_0444,"['other_vegetables', 'whole_milk', 'white_bread', 'chewing_gum']",4
id_0445,"['whole_milk', 'rolls/buns', 'shopping_bags']",3
id_0446,"['other_vegetables', 'chewing_gum']",2
id_0447,"['whole_milk', 'whipped/sour_cream', 'baking_powder']",3
id_0448,"['rolls/buns', 'coffee']",2
id_0450,"['ice_cream', 'newspapers']",2
id_0451,"['whole_milk', 'frozen_meals', 'newspapers']",3
id_0452,"['salt', 'dog_food', 'long_life_bakery_product']",3
id_0453,"['other_vegetables', 'whole_milk', 'yogurt']",3
id_0456,"['tropical_fruit', 'oil', 'cat_food']",3
id_0457,"['other_vegetables', 'butter_milk', 'frozen_fish', 'salty_snack']",4
id_0460,"['artif_sweetener', 'soda', 'photo/film']",3
id_0461,"['frankfurter', 'whole_milk', 'coffee', 'detergent']",4
id_0462,"['whole_milk', 'newspapers']",2
id_0463,"['domestic_eggs', 'hygiene_articles', 'photo/film', 'flower_soil/fertilizer']",4
id_0465,"['cream_cheese', 'margarine', 'tea']",3
id_0466,"['citrus_fruit', 'onions']",2
id_0467,"['other_vegetables', 'whipped/sour_cream', 'roll_products']",3
id_0469,"['onions', 'domestic_eggs', 'soda', 'hygiene_articles']",4
id_0470,"['rolls/buns', 'long_life_bakery_product']",2
id_0471,"['ice_cream', 'long_life_bakery_product']",2
id_0472,"['coffee', 'fruit/vegetable_juice', 'dishes']",3
id_0473,"['whole_milk', 'butter', 'pasta', 'misc_beverages']",4
id_0475,"['citrus_fruit', 'berries', 'butter_milk', 'yogurt']",4
id_0476,"['margarine', 'newspapers']",2
id_0477,"['butter_milk', 'yogurt']",2
id_0479,"['whole_milk', 'rice']",2
id_0481,"['whole_milk', 'white_bread']",2
id_0482,"['grapes', 'zwieback', 'soda', 'waffles']",4
id_0484,"['uht-milk', 'bottled_water']",2
id_0486,"['yogurt', 'margarine']",2
id_0489,"['frankfurter', 'other_vegetables', 'specialty_cheese', 'chewing_gum']",4
id_0493,"['whole_milk', 'pastry']",2
id_0494,"['dessert', 'bottled_water', 'soda']",3
id_0496,"['butter', 'rolls/buns', 'salt']",3
id_0498,"['soda', 'misc_beverages']",2
id_0499,"['whole_milk', 'frozen_vegetables']",2
id_0505,"['bottled_water', 'soda']",2
id_0506,"['bottled_water', 'soda', 'chewing_gum']",3
id_0507,"['frankfurter', 'turkey', 'citrus_fruit']",3
id_0508,"['ice_cream', 'coffee', 'waffles']",3
id_0510,"['uht-milk', 'vinegar', 'waffles', 'chocolate']",4
id_0512,"['popcorn', 'candy']",2
id_0513,"['soda', 'candy']",2
id_0514,"['uht-milk', 'instant_coffee']",2
id_0517,"['whole_milk', 'soda', 'misc_beverages', 'shopping_bags']",4
id_0518,"['cat_food', 'dish_cleaner', 'shopping_bags']",3
id_0521,"['root_vegetables', 'skin_care']",2
id_0522,"['finished_products', 'other_vegetables', 'soda', 'fruit/vegetable_juice']",4
id_0524,"['other_vegetables', 'yogurt', 'oil', 'dental_care']",4
id_0526,"['other_vegetables', 'nut_snack']",2
id_0529,"['yogurt', 'newspapers']",2
id_0530,"['other_vegetables', 'sugar']",2
id_0534,"['dessert', 'white_bread']",2
id_0535,"['citrus_fruit', 'tropical_fruit', 'pip_fruit', 'long_life_bakery_product']",4
id_0538,"['turkey', 'whole_milk', 'uht-milk', 'fruit/vegetable_juice']",4
id_0539,"['grapes', 'chocolate', 'light_bulbs']",3
id_0541,"['bottled_water', 'pot_plants']",2
id_0542,"['prosecco', 'hygiene_articles', 'pot_plants']",3
id_0543,"['uht-milk', 'soda', 'dish_cleaner', 'napkins']",4
id_0545,"['tropical_fruit', 'pasta', 'bottled_water']",3
id_0547,"['yogurt', 'uht-milk', 'rolls/buns']",3
id_0548,"['rolls/buns', 'coffee']",2
id_0549,"['whole_milk', 'brown_bread']",2
id_0550,"['brown_bread', 'chocolate']",2
id_0552,"['other_vegetables', 'yogurt', 'cream_cheese']",3
id_0553,"['citrus_fruit', 'cake_bar', 'baby_cosmetics', 'shopping_bags']",4
id_0556,"['root_vegetables', 'whole_milk', 'yogurt', 'frozen_potato_products']",4
id_0557,"['domestic_eggs', 'seasonal_products', 'shopping_bags']",3
id_0558,"['domestic_eggs', 'specialty_bar', 'seasonal_products', 'shopping_bags']",4
id_0559,"['bottled_water', 'soda']",2
id_0562,"['tropical_fruit', 'sliced_cheese', 'domestic_eggs', 'zwieback']",4
id_0563,"['frozen_potato_products', 'pot_plants']",2
id_0564,"['frankfurter', 'other_vegetables', 'zwieback']",3
id_0567,"['frozen_potato_products', 'bottled_water', 'soda']",3
id_0568,"['tropical_fruit', 'dessert', 'sweet_spreads', 'fruit/vegetable_juice']",4
id_0569,"['rolls/buns', 'brown_bread']",2
id_0570,"['citrus_fruit', 'tropical_fruit', 'whole_milk', 'coffee']",4
id_0571,"['yogurt', 'softener']",2
id_0572,"['soda', 'softener']",2
id_0574,"['oil', 'dental_care', 'newspapers']",3
id_0577,"['whipped/sour_cream', 'beverages', 'fruit/vegetable_juice', 'chocolate']",4
id_0579,"['whole_milk', 'frozen_vegetables', 'specialty_chocolate']",3
id_0580,"['coffee', 'shopping_bags']",2
id_0581,"['rolls/buns', 'waffles']",2
id_0582,"['citrus_fruit', 'yogurt', 'brown_bread', 'pasta']",4
id_0583,"['cream_cheese', 'rolls/buns']",2
id_0585,"['chicken', 'whipped/sour_cream', 'coffee', 'shopping_bags']",4
id_0587,"['grapes', 'root_vegetables']",2
id_0588,"['root_vegetables', 'other_vegetables', 'yogurt']",3
id_0589,"['oil', 'dish_cleaner', 'newspapers']",3
id_0592,"['onions', 'vinegar', 'pet_care', 'specialty_bar']",4
id_0593,"['dessert', 'dishes']",2
id_0594,"['chewing_gum', 'napkins', 'dishes']",3
id_0595,"['beverages', 'pastry', 'long_life_bakery_product', 'chocolate_marshmallow']",4
id_0596,"['cat_food', 'soda']",2
id_0597,"['whole_milk', 'beverages', 'pastry', 'soda']",4
id_0598,"['soda', 'fruit/vegetable_juice']",2
id_0600,"['beverages', 'bottled_water', 'misc_beverages']",3
id_0601,"['whole_milk', 'yogurt', 'chocolate']",3
id_0602,"['whole_milk', 'brown_bread']",2
id_0603,"['citrus_fruit', 'frozen_potato_products']",2
id_0604,"['ice_cream', 'salty_snack', 'waffles']",3
id_0605,"['root_vegetables', 'fruit/vegetable_juice', 'long_life_bakery_product', 'pot_plants']",4
id_0608,"['other_vegetables', 'chocolate']",2
id_0609,"['whole_milk', 'white_bread', 'pastry']",3
id_0610,"['zwieback', 'oil', 'mustard', 'chocolate']",4
id_0611,"['butter', 'yogurt', 'dog_food']",3
id_0612,"['chicken', 'tropical_fruit', 'candy', 'shopping_bags']",4
id_0613,"['other_vegetables', 'cream_cheese', 'coffee', 'dishes']",4
id_0615,"['chicken', 'whole_milk']",2
id_0616,"['yogurt', 'chocolate']",2
id_0617,"['frozen_meals', 'pet_care', 'soda']",3
id_0618,"['canned_fruit', 'meat_spreads', 'bottled_water']",3
id_0619,"['butter', 'waffles', 'chocolate']",3
id_0620,"['meat', 'yogurt']",2
id_0621,"['root_vegetables', 'butter', 'frozen_vegetables', 'salty_snack']",4
id_0622,"['yogurt', 'sugar', 'instant_coffee']",3
id_0623,"['yogurt', 'rolls/buns', 'pastry', 'soda']",4
id_0625,"['dessert', 'misc_beverages']",2
id_0626,"['curd', 'jam', 'shopping_bags']",3
id_0631,"['herbs', 'pot_plants']",2
id_0632,"['whole_milk', 'sugar', 'pudding_powder']",3
id_0635,"['cream_cheese', 'dishes']",2
id_0636,"['frozen_fruits', 'detergent']",2
id_0639,"['whole_milk', 'soda']",2
id_0641,"['whole_milk', 'yogurt']",2
id_0642,"['chicken', 'whole_milk']",2
id_0645,"['whole_milk', 'shopping_bags']",2
id_0646,"['root_vegetables', 'coffee', 'detergent']",3
id_0648,"['oil', 'female_sanitary_products', 'cling_film/bags']",3
id_0650,"['uht-milk', 'coffee']",2
id_0651,"['butter_milk', 'shopping_bags']",2
id_0652,"['brown_bread', 'specialty_chocolate', 'shopping_bags']",3
id_0654,"['beverages', 'soda', 'chocolate']",3
id_0657,"['rolls/buns', 'bottled_water']",2
id_0658,"['hard_cheese', 'rolls/buns', 'soda', 'shopping_bags']",4
id_0661,"['tropical_fruit', 'frozen_vegetables']",2
id_0663,"['whipped/sour_cream', 'salty_snack']",2
id_0664,"['citrus_fruit', 'whole_milk', 'butter_milk', 'whipped/sour_cream']",4
id_0666,"['soda', 'fruit/vegetable_juice']",2
id_0667,"['tropical_fruit', 'whole_milk']",2
id_0669,"['dessert', 'fruit/vegetable_juice', 'newspapers']",3
id_0670,"['whole_milk', 'rolls/buns']",2
id_0671,"['rolls/buns', 'soda']",2
id_0672,"['fish', 'dessert', 'yogurt', 'cling_film/bags']",4
id_0673,"['other_vegetables', 'oil', 'margarine', 'dishes']",4
id_0674,"['tropical_fruit', 'other_vegetables', 'waffles', 'napkins']",4
id_0676,"['citrus_fruit', 'coffee']",2
id_0678,"['beef', 'other_vegetables', 'margarine', 'candles']",4
id_0679,"['rolls/buns', 'soda', 'waffles', 'shopping_bags']",4
id_0680,"['whole_milk', 'beverages', 'bottled_water', 'newspapers']",4
id_0681,"['root_vegetables', 'brown_bread', 'pot_plants']",3
id_0683,"['onions', 'shopping_bags']",2
id_0684,"['napkins', 'dishes']",2
id_0687,"['other_vegetables', 'rolls/buns']",2
id_0688,"['frankfurter', 'whole_milk']",2
id_0690,"['whipped/sour_cream', 'flower_(seeds)']",2
id_0691,"['frozen_vegetables', 'brown_bread']",2
id_0692,"['onions', 'yogurt', 'oil']",3
id_0693,"['frankfurter', 'brown_bread', 'sugar']",3
id_0694,"['rolls/buns', 'canned_fish', 'soda']",3
id_0696,"['condensed_milk', 'coffee', 'napkins']",3
id_0697,"['whole_milk', 'frozen_vegetables', 'fruit/vegetable_juice', 'long_life_bakery_product']",4
id_0698,"['pip_fruit', 'yogurt', 'sliced_cheese']",3
id_0699,"['pip_fruit', 'other_vegetables']",2
id_0700,"['other_vegetables', 'whipped/sour_cream', 'condensed_milk', 'salt']",4
id_0701,"['pastry', 'long_life_bakery_product', 'shopping_bags']",3
id_0705,"['citrus_fruit', 'tropical_fruit', 'coffee']",3
id_0709,"['tropical_fruit', 'bottled_water', 'chewing_gum']",3
id_0713,"['herbs', 'oil', 'dog_food']",3
id_0714,"['yogurt', 'chocolate']",2
id_0715,"['frankfurter', 'frozen_meals', 'semi-finished_bread', 'shopping_bags']",4
id_0719,"['yogurt', 'shopping_bags']",2
